,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,retrieval_diversity,retrieval_diversity,ndcg@k,ndcg@k,ndcg@k,context_relevance,context_relevance,context_relevance,context_coverage,context_coverage,context_coverage,semantic_similarity,semantic_similarity,semantic_similarity,answer_question_relevance,answer_question_relevance,answer_question_relevance,answer_length,answer_length,answer_length,length_ratio,length_ratio,length_ratio,key_term_coverage,key_term_coverage,key_term_coverage,faithfulness_score,faithfulness_score,faithfulness_score,min_sentence_support,min_sentence_support,min_sentence_support,unsupported_sentences,unsupported_sentences,unsupported_sentences
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular,0.6318690906996014,0.05770192622941437,29,0.6736983451349982,0.06743804468434395,29,0.5619391676937712,0.13872091262619507,29,0.6353900052350143,0.1552867924404177,29,0.3409165892450289,0.09487090924191079,29,0.9805612226302268,0.028603833808957427,29,0.67816091954023,0.4129141367054266,29,0.6353900052350143,0.1552867924404177,29,0.6717318132005888,0.17181643597910107,29,0.7489373889462702,0.07299794523063965,29,121.0,38.08261695689667,29,0.9944815128162972,1.399060599929002,29,0.394917540878094,0.17667961723275172,29,0.4463762270179656,0.17725412792647915,29,0.2029791902108439,0.28474894541022727,29,5.137931034482759,5.64879341055007,29
Endocrine/Metabolic,0.5918537800510724,0.10755204756197051,28,0.61970404535532,0.12038889913380889,28,0.5189053174995241,0.1622706588161967,28,0.5842246913484165,0.1831893232808026,28,0.3640238261293797,0.16295327069779905,28,0.9749366158529938,0.02962546141922217,28,0.5952380952380952,0.4477391110696302,28,0.5842246913484165,0.1831893232808026,28,0.6961930085505758,0.16532071061551715,28,0.7486708142927715,0.05103752373802827,28,103.82142857142857,42.28479594669895,28,0.6229781581545119,0.6587010671097621,28,0.3129934098293415,0.15508155652472713,28,0.43559194453504385,0.18731759726762945,28,0.21743919254679764,0.26033598312516604,28,5.214285714285714,5.438934691831716,28
Gastrointestinal,0.6000985486068945,0.0717394011696947,29,0.6485882052059831,0.07897620726773595,29,0.5573581520510815,0.13310433169239186,29,0.6402279087181749,0.15559324062135974,29,0.3693904672888504,0.10228203933530139,29,0.9784159186437194,0.028513219031594008,29,0.6436781609195402,0.4075773807410504,29,0.6402279087181749,0.15559324062135974,29,0.6840566622799841,0.15894483066036938,29,0.7278905654775685,0.0707912994053287,29,106.6896551724138,49.66682095170051,29,1.1164184498045249,1.6564654274907846,29,0.3346973095060088,0.179379329042198,29,0.39527134806761566,0.17614661298930123,29,0.17959262186597133,0.272370920544083,29,6.620689655172414,6.108622670943148,29
Kidney/Renal,0.6285449777330671,0.06380705197560763,28,0.6564909390040806,0.07541893353588038,28,0.5370532164261455,0.09752432262212832,28,0.5864806026220322,0.09548733747998972,28,0.30107123333783375,0.06742018671818292,28,0.985519176813478,0.022418989132147012,28,0.5833333333333333,0.4120110270608701,28,0.5864806026220322,0.09548733747998972,28,0.6315918213554791,0.1402162781298727,28,0.7408464018787656,0.05893381440635685,28,121.92857142857143,36.247021406545414,28,1.1584813446750986,1.6462322584012834,28,0.30717813006606864,0.13681381869511938,28,0.3748394130468945,0.1322268112119462,28,0.07077611736687166,0.22920114872136996,28,5.892857142857143,3.583287190548239,28
Musculoskeletal,0.6118105387403852,0.06458622839241618,28,0.6502160451241902,0.0684850881928161,28,0.585148957868417,0.10439288222568734,28,0.6851818497691836,0.1300544687223967,28,0.35912563297010597,0.10382337848926018,28,0.9778340542228582,0.02975111805635559,28,0.7142857142857143,0.3480017704212772,28,0.6851818497691836,0.1300544687223967,28,0.7014377361961773,0.12156232915995871,28,0.7452194562980107,0.05009888667629433,28,99.53571428571429,42.398010210872755,28,0.6634014952591879,0.5655933328379754,28,0.301836028998116,0.15755847139710039,28,0.45990546307328534,0.1488518124687336,28,0.20243620213919453,0.23093629262866655,28,3.9285714285714284,4.276798486134843,28
Neurological,0.5868362184913679,0.10128817633996963,29,0.6187766492366791,0.1010750748221885,29,0.5529473893258763,0.14730552203487618,29,0.6364530026912689,0.15140953548660693,29,0.3611924620880477,0.09142475789440324,29,0.9813670096325029,0.02841390246321959,29,0.67816091954023,0.39322394181709214,29,0.6364530026912689,0.15140953548660693,29,0.6418202293330225,0.1434484656798221,29,0.6902828380979341,0.1096232208083448,29,104.44827586206897,48.80323921253043,29,0.8046920097110692,0.6016988881733613,29,0.29058280631492217,0.1615110231565847,29,0.42698664772997674,0.1612648483992544,29,0.2208904979814743,0.2335731795308042,29,5.206896551724138,5.608535015904826,29
Respiratory,0.6270249300989611,0.053268462639158826,29,0.6700812290454733,0.0706553733254148,29,0.6391720501170761,0.09857161085962235,29,0.7270040306551703,0.12509050555397114,29,0.3172285728070928,0.055919204579695986,29,0.9843456702543125,0.0234068017964835,29,0.8735632183908045,0.24256881045415768,29,0.7270040306551703,0.12509050555397114,29,0.7488893887092327,0.09918697904468708,29,0.7211667566463865,0.06558827713369572,29,119.37931034482759,44.03035786583052,29,0.8611332283424509,0.9060967652348655,29,0.39006871251202585,0.16550517196675027,29,0.4658281808683968,0.177649271154846,29,0.21892208336242314,0.2844034427153673,29,4.862068965517241,4.549129727847754,29
Unrelated,0.40791922559340793,0.047976006948328764,20,0.4384890511631966,0.05859230365713965,20,0.36094663441181185,0.09013305684096702,20,0.4284646824002266,0.09616566775815953,20,0.5430873923003674,0.1583520739923727,20,0.9724998417474314,0.03986310729236027,20,0.13333333333333333,0.22685234912624017,20,0.4284646824002266,0.09616566775815953,20,0.6366065099835396,0.15213710131346544,20,0.7379355579614639,0.053254210338661796,20,119.35,41.85975959897776,20,1.0791692166890718,1.0368855971606796,20,0.2903872952579056,0.1402655863017223,20,0.2940874109758685,0.0898241388030883,20,0.103240033891052,0.1644283823111313,20,7.55,4.334379091088268,20
