,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,retrieval_diversity,retrieval_diversity,avg_bm25_score,avg_bm25_score,avg_bm25_score,max_bm25_score,max_bm25_score,max_bm25_score,ndcg@k,ndcg@k,ndcg@k,context_relevance,context_relevance,context_relevance,context_coverage,context_coverage,context_coverage,semantic_similarity,semantic_similarity,semantic_similarity,answer_question_relevance,answer_question_relevance,answer_question_relevance,rouge1_f,rouge1_f,rouge1_f,rouge2_f,rouge2_f,rouge2_f,rougeL_f,rougeL_f,rougeL_f,bert_score_precision,bert_score_precision,bert_score_precision,bert_score_recall,bert_score_recall,bert_score_recall,bert_score_f1,bert_score_f1,bert_score_f1,answer_length,answer_length,answer_length,length_ratio,length_ratio,length_ratio,key_term_coverage,key_term_coverage,key_term_coverage,faithfulness_score,faithfulness_score,faithfulness_score,min_sentence_support,min_sentence_support,min_sentence_support,unsupported_sentences,unsupported_sentences,unsupported_sentences
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular,0.6148854524924837,0.06721066121935951,29,0.6720405488178648,0.07049558153350124,29,0.550604360327981,0.15340250538459105,29,0.6354978022904232,0.15958839382610698,29,0.3329482462214327,0.06668175511953325,29,0.4629821047197268,0.22731488477283407,29,0.811766422136554,0.5086840554654026,29,0.9832621735159329,0.02741606176941593,29,0.6436781609195402,0.4075773807410503,29,0.6354978022904232,0.15958839382610698,29,0.6618781518833391,0.18094991924475515,29,0.7375610655751722,0.05442851665477775,29,0.23355537669164714,0.10820624439096947,29,0.060986485283416575,0.03836396924527854,29,0.1278889058553847,0.048995169295184396,29,0.8378356366321958,0.025502726297775575,29,0.7963334876915504,0.05173790007555401,29,0.8153505201997429,0.027507228837439116,29,116.82758620689656,42.034908082889224,29,1.1541869611401794,1.9693281429670804,29,0.3472563871532682,0.1696737243247092,29,0.43014882375241836,0.17406060933223175,29,0.17079832324565486,0.28229144894035274,29,5.0,3.9821028185046723,29
Endocrine/Metabolic,0.5585527473262378,0.12499650319622885,28,0.6001196237547057,0.13112210113692813,28,0.5068307761989889,0.17890394876455187,28,0.5751023297863347,0.20430571996462685,28,0.366573567014365,0.12334317490954147,28,0.38585971798475255,0.2656624645651418,28,0.7798609805634157,0.6341803400984497,28,0.9689657183955519,0.03876372236597741,28,0.5714285714285714,0.4431197188615896,28,0.5751023297863347,0.20430571996462685,28,0.6681193294269698,0.16135991551681586,28,0.7359053726707186,0.08467369728576343,28,0.2285710852635506,0.07848399457468173,28,0.045326663213223636,0.020263105644767125,28,0.12433463215485555,0.04359292456713227,28,0.8448823349816459,0.024078758173177523,28,0.7919706872531346,0.04490218428200604,28,0.8166933166129249,0.02528055211386278,28,100.53571428571429,43.26788402914785,28,0.5163104588647934,0.4582170994828033,28,0.2819966469556893,0.12136678916746178,28,0.39122022174153537,0.14995330737672533,28,0.17352216304945095,0.2522091976790442,28,5.392857142857143,4.374499215480943,28
Gastrointestinal,0.5739242194712847,0.0777029834356168,29,0.6322951892326618,0.07609709961639877,29,0.5442428256588421,0.12390985931745153,29,0.6445689088311689,0.16188907379131245,29,0.3956075742326934,0.10053278351993265,29,0.5091054285990573,0.269175755191381,29,0.9281501770555438,0.5222456694875636,29,0.9712174835503811,0.04153273389612523,29,0.5862068965517241,0.3949600383019791,29,0.6445689088311689,0.16188907379131245,29,0.6905491701487837,0.15026167590781808,29,0.7422654998713526,0.05569437513077095,29,0.2671957110673999,0.09350702698958317,29,0.06581419260568627,0.04155353720856443,29,0.151592443608267,0.05467274033547765,29,0.8475217182060768,0.02349883985989403,29,0.8178137910777125,0.04137259856380954,29,0.831684435236043,0.02422446835777602,29,116.13793103448276,43.063677218353085,29,1.2542356939310138,1.758883451926762,29,0.3536683861706119,0.12813800590009036,29,0.39701153615500656,0.16689886322358335,29,0.16937158128310895,0.25455554429572586,29,6.172413793103448,6.397929160044351,29
Kidney/Renal,0.5916744974397478,0.07236062453830683,28,0.6460819329534259,0.08386768993826589,28,0.513573808329446,0.0873660321246214,28,0.5920803472399712,0.09330542383719201,28,0.32838971487113405,0.08137600118299436,28,0.5179904297221265,0.29837544674576194,28,0.9974458963178908,0.614766678758461,28,0.9654540684242888,0.04358964636236045,28,0.5238095238095238,0.3563483225498991,28,0.5920803472399712,0.09330542383719201,28,0.6453330463596753,0.1189767669148641,28,0.7467939470495496,0.051198821695229504,28,0.24596284961645284,0.07750405212829418,28,0.053891092329855915,0.02877429810384294,28,0.13534503970074335,0.03491490397292163,28,0.8329409616334098,0.020495408518362384,28,0.8247547979865756,0.03284092104496387,28,0.8284114322492054,0.02007504515572245,28,121.28571428571429,38.324015430669036,28,1.1012374937816705,1.5578995777092086,28,0.2927496017769563,0.11239676366658076,28,0.3470751008872746,0.13652147180180194,28,0.05894544557668269,0.22457898619729091,28,7.071428571428571,4.7134839786437395,28
Musculoskeletal,0.5970447127308164,0.06886565167190446,28,0.6481602511235646,0.07004951509008363,28,0.5466905394125552,0.11497819852749021,28,0.6510458418301174,0.13811901765624854,28,0.3538519051812944,0.0868062658939368,28,0.3775580848316574,0.22970829526685138,28,0.6923538314827028,0.4614802630231922,28,0.9567246368015265,0.05490473664697293,28,0.6071428571428571,0.3746446484081079,28,0.6510458418301174,0.13811901765624854,28,0.7220770088689668,0.11006370854314028,28,0.7619146747248513,0.04224187283263379,28,0.3039683712099383,0.10721597746933854,28,0.06731717850978548,0.04249280917920761,28,0.16024059443951247,0.06524637654264201,28,0.8563428329569953,0.026351687914762143,28,0.8342165393488747,0.03903068548185176,28,0.8448170700243541,0.029349318618287483,28,114.28571428571429,33.0631910615809,28,0.7375243829879282,0.5713552344589614,28,0.36617543114818074,0.16699239832685225,28,0.4074833192470505,0.15471903871984932,28,0.17148927053702728,0.23580186709937168,28,5.785714285714286,4.613644360558612,28
Neurological,0.5736322747222309,0.11118861319547395,29,0.6143216984025364,0.10978129131182393,29,0.5381155067134178,0.1547603778561602,29,0.629575330635597,0.15769186480827682,29,0.3584711959307221,0.1122996204293271,29,0.5191232602346995,0.27564107722517955,29,0.9624141291456979,0.6489655335751437,29,0.9637728527908849,0.03680937292771415,29,0.5862068965517241,0.40488262470993835,29,0.629575330635597,0.15769186480827682,29,0.659715342110601,0.14573090032480443,29,0.7186798864397509,0.08251320043470696,29,0.28869469197547926,0.09767762973161807,29,0.06716293007452455,0.047817986880640304,29,0.1556773180806772,0.04551704516119288,29,0.8496433290941962,0.023754890677772086,29,0.8385087847709656,0.026947776346924936,29,0.8437125312870947,0.018836175032120855,29,112.20689655172414,37.25719423369783,29,0.9034647344767882,0.7191965933954015,29,0.3254434253336487,0.15981394139843347,29,0.46404406009739146,0.17415981501294342,29,0.24519208931075087,0.2659093419230138,29,3.9310344827586206,3.981484239422338,29
Respiratory,0.6094780985651345,0.05662833682336241,29,0.6649989382974033,0.0704704873681502,29,0.6198558588137572,0.10111151046257846,29,0.7091766523903814,0.1315609195609774,29,0.3308776538262422,0.04804141510383301,29,0.4509123680939299,0.19653228022750852,29,0.7586189431364971,0.41458160016141027,29,0.966413293869778,0.03658136651410106,29,0.8390804597701149,0.27632350570111786,29,0.7091766523903814,0.1315609195609774,29,0.7629794416756466,0.11068482906477554,29,0.7513235355245655,0.043052539022655115,29,0.2608799908165157,0.09990073234230488,29,0.07599937972901843,0.04290785020113223,29,0.15785569898580984,0.06244005102529029,29,0.8568566647069208,0.029533740470193914,29,0.8109510109342378,0.05422878028495256,29,0.832261455470118,0.03368423922490113,29,97.93103448275862,47.770979710102814,29,0.635511102289266,0.637243342742834,29,0.35727458343238544,0.18031017929630244,29,0.468367925386102,0.14865065601947652,29,0.2588827205372268,0.24345871995764873,29,3.8275862068965516,3.655416387433481,29
Unrelated,0.3703439421951771,0.05864938348286506,20,0.4139998942613602,0.06787722664123928,20,0.32619957290589807,0.09841047748984447,20,0.395681444555521,0.10741126238230055,20,0.4590439597765605,0.14889560588757383,20,0.3859499728025994,0.3909115851362924,20,0.8655624714736477,0.8077245541171577,20,0.9804564418171349,0.03325740222754606,20,0.11666666666666665,0.22360679774997896,20,0.395681444555521,0.10741126238230055,20,0.599161472916603,0.15399375619161543,20,0.7240579694509506,0.11565615026190092,20,0.2122357877551166,0.09062454004875564,20,0.041782789529544076,0.029997523113578176,20,0.1117831227418296,0.04391705335327902,20,0.8260043621063232,0.023599951114332735,20,0.8134386748075485,0.047993842350342195,20,0.8188970983028412,0.02880743828472573,20,131.1,37.66039382637806,20,1.2694473805209474,1.1380543825083524,20,0.27987590760408787,0.13403103918045994,20,0.2803139049424056,0.10011562767066402,20,0.0759717378532514,0.17034813331010432,20,7.8,4.175114243630756,20
