,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,retrieval_diversity,retrieval_diversity,avg_bm25_score,avg_bm25_score,avg_bm25_score,max_bm25_score,max_bm25_score,max_bm25_score,ndcg@k,ndcg@k,ndcg@k,context_relevance,context_relevance,context_relevance,context_coverage,context_coverage,context_coverage,semantic_similarity,semantic_similarity,semantic_similarity,answer_question_relevance,answer_question_relevance,answer_question_relevance,rouge1_f,rouge1_f,rouge1_f,rouge2_f,rouge2_f,rouge2_f,rougeL_f,rougeL_f,rougeL_f,bert_score_precision,bert_score_precision,bert_score_precision,bert_score_recall,bert_score_recall,bert_score_recall,bert_score_f1,bert_score_f1,bert_score_f1,answer_length,answer_length,answer_length,length_ratio,length_ratio,length_ratio,key_term_coverage,key_term_coverage,key_term_coverage,faithfulness_score,faithfulness_score,faithfulness_score,min_sentence_support,min_sentence_support,min_sentence_support,unsupported_sentences,unsupported_sentences,unsupported_sentences
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular,0.6587872381868034,0.03654622370208522,29,0.6825478282468073,0.040856616013596726,29,0.5694712262557842,0.1315228594352142,29,0.6197482224168449,0.14065840213232567,29,0.2450779285924188,0.07876756527159501,29,0.26086057473098256,0.23800127085960607,29,0.48235652173700083,0.4473225808151466,29,0.9801320461081208,0.03127637771303388,29,0.735632183908046,0.41191876168583336,29,0.6197482224168449,0.14065840213232567,29,0.6751223787151533,0.1630937629750039,29,0.742272085156934,0.05977130343871869,29,0.2498536648954421,0.11099854522064294,29,0.06684165723416441,0.03935647810116101,29,0.13414460144210377,0.0567425676257724,29,0.8423381283365446,0.029935148217129236,29,0.8032067746951662,0.04867879583975829,29,0.8212202705185989,0.02810236865295327,29,118.37931034482759,33.404890353171176,29,1.2983890961031856,2.943582349394758,29,0.3671128300893996,0.17786913354450964,29,0.44650225310156033,0.19778654895218775,29,0.2005630999418168,0.3090333099500332,29,5.172413793103448,5.036076743410215,29
Endocrine/Metabolic,0.6214425851191793,0.09715393350067586,28,0.6402608794825417,0.09530510207396765,28,0.54688264548202,0.14882236820858336,28,0.6030023555670466,0.15549171853613908,28,0.31130801886320114,0.1264261229196254,28,0.3056999693941868,0.2220678078698412,28,0.6075190349813638,0.4872797243712324,28,0.9869385716728057,0.026514388401883308,28,0.5952380952380952,0.4192600071038631,28,0.6030023555670466,0.15549171853613908,28,0.6807427565966334,0.15861758703543088,28,0.745763116649219,0.06632183778964461,28,0.22958820766223775,0.09391184933081767,28,0.04813116004952024,0.031000181907693623,28,0.1249818058171304,0.0542721309760849,28,0.8458550444671086,0.021476332940683376,28,0.796293128814016,0.05043662383880413,28,0.8195184639522007,0.03011702775727515,28,102.28571428571429,40.99399878650455,28,0.695893902535493,0.9855974951366246,28,0.32520637340680264,0.13660435628938505,28,0.47694077163682996,0.19059038341847412,28,0.2867426167109183,0.29810761829667204,28,4.178571428571429,4.776900990054438,28
Gastrointestinal,0.6299997523598286,0.07318680135010555,29,0.6604555978857237,0.0696383542084992,29,0.5821672198416173,0.139089949117988,29,0.6503297018593756,0.1488930878239328,29,0.2824933069875871,0.10841869397174618,29,0.30526741935921187,0.20364096909053936,29,0.5552440596673757,0.35003440811791203,29,0.9797906636149185,0.025465405380336495,29,0.7011494252873562,0.4115864350793459,29,0.6503297018593756,0.1488930878239328,29,0.6970142475489912,0.14874565044679083,29,0.7485951904592842,0.057829092891144726,29,0.249616785088774,0.08730039976816596,29,0.05994410484746539,0.03161696614396192,29,0.14105093827588322,0.04894297317213724,29,0.8508356891829392,0.025452057657209242,29,0.8177308810168299,0.04560306882330373,29,0.8330328320634777,0.025522207252155853,29,103.13793103448276,43.14653117817654,29,1.1338013296225524,1.6325740967970415,29,0.35553121018942013,0.16899570075207848,29,0.457014177616044,0.1795816645462959,29,0.23098023659710226,0.26889052993891815,29,4.172413793103448,4.408344081051956,29
Kidney/Renal,0.6545269730545226,0.0749424898262669,28,0.6733850198132652,0.08045499368464787,28,0.5384799000762758,0.08945852927295793,28,0.5850130128008979,0.09174918754124504,28,0.2708818728015536,0.07022208263161318,28,0.30843226363186954,0.14220598761252115,28,0.6012404328021853,0.3870988378377357,28,0.9821901391654447,0.019424797655117156,28,0.6785714285714286,0.39002102778747977,28,0.5850130128008979,0.09174918754124504,28,0.6518360323139599,0.1439112753578875,28,0.7458162350314004,0.05075255846101674,28,0.2517296060888155,0.07582877637475526,28,0.05798626858392484,0.03436660147357766,28,0.13880446707910415,0.037944435202061984,28,0.8362118814672742,0.02416772407356557,28,0.8249276855162212,0.03508449144374836,28,0.8299668984753745,0.020826214078978358,28,120.5,37.267302717688764,28,1.2111203124112693,1.7935442046812957,28,0.3472432202931724,0.17942773856017594,28,0.4015895164022895,0.1443663151017453,28,0.11478933931461402,0.24663631935540434,28,5.714285714285714,4.470952693712827,28
Musculoskeletal,0.656626657361076,0.060941804023831495,28,0.6896282753774098,0.06363903593347416,28,0.6166822140415509,0.12308530154125023,28,0.6679260730743408,0.13470246514893428,28,0.24127271132809774,0.05294614297761673,28,0.1986054994158975,0.13938609863960805,28,0.4015182083543149,0.29644235857898205,28,0.9910647624033606,0.013709727664727082,28,0.7738095238095238,0.36349437396738027,28,0.6679260730743408,0.13470246514893428,28,0.7074728714568275,0.11214986662548859,28,0.7648862025567463,0.0444763157683089,28,0.27132170107124554,0.0794448647575229,28,0.052788343098762805,0.0281633510301757,28,0.1454802450986991,0.04380515655577155,28,0.8629047402313778,0.026374671325446526,28,0.829921475478581,0.03571384491770352,28,0.8457743312631335,0.026904614290446906,28,97.60714285714286,37.74508973286193,28,0.6103145033598505,0.5631975965169296,28,0.3195187149675215,0.1369718596560441,28,0.46886957688304615,0.1420150882824814,28,0.21172520651349,0.24628858744384424,28,3.5714285714285716,3.584209933382927,28
Neurological,0.6208147708026842,0.10813969054739153,29,0.6366360732193651,0.11017400994392924,29,0.5735007752289717,0.14004279703215924,29,0.6162176224692114,0.14886683826008265,29,0.29825712038182667,0.10648706731733525,29,0.34483011087988313,0.20006027736706672,29,0.6443131444091491,0.47593685146907727,29,0.9896053049597257,0.01754706350201093,29,0.6896551724137931,0.4358082664443836,29,0.6162176224692114,0.14886683826008265,29,0.6811975898413822,0.13127989516451657,29,0.720972510247395,0.0769777342541382,29,0.279945341395731,0.09605355354315182,29,0.06345182687135262,0.05296229848465524,29,0.15445035422000894,0.05756507996511121,29,0.8494811304684343,0.025048781560050165,29,0.8386619645973732,0.02696049470634745,29,0.8436842663534756,0.019147429963531755,29,104.58620689655173,42.28265199935456,29,0.8055655346453559,0.7049233536765185,29,0.32504073852294285,0.15152420319921622,29,0.45448158054848997,0.16733704417430426,29,0.22197523308468275,0.24855972222761535,29,4.620689655172414,4.761555816443135,29
Respiratory,0.6748511455524927,0.051239763608094326,29,0.6957947282955564,0.05646098610786872,29,0.6559329635795506,0.09980215041552365,29,0.7131871344714329,0.10556786189420617,29,0.2323751483840504,0.049487487784896964,29,0.30265222162331007,0.23207398589805603,29,0.6017777336236253,0.5671495683385369,29,0.9891287950129468,0.015739221637498444,29,0.9195402298850575,0.22982347286754162,29,0.7131871344714329,0.10556786189420617,29,0.7269976755668377,0.10760010597535043,29,0.7399548867653156,0.05789807290946349,29,0.2690855627755896,0.09940431884665461,29,0.07638297632215876,0.0454332171494421,29,0.15423624818819426,0.06506060361450097,29,0.8467703112240496,0.02662856479422921,29,0.8089228847931171,0.055155838045752824,29,0.8261799442357031,0.030218675284466947,29,108.82758620689656,38.84223489737247,29,0.8453415156315109,1.0009568921988665,29,0.3886949197736646,0.15646934358890127,29,0.4072950568280898,0.16027204594481617,29,0.15837921921549172,0.22514355263284094,29,6.310344827586207,5.39909680459785,29
Unrelated,0.4516631677746773,0.05254759020378361,20,0.47836851626634597,0.06025221757102295,20,0.38992859733601415,0.08974883487232532,20,0.447029410302639,0.10218667071859544,20,0.4027585290372372,0.15033738809924255,20,0.29851284381891463,0.2167522041950794,20,0.5539883647003742,0.4182232617417381,20,0.9732539035929877,0.03236932553287978,20,0.16666666666666666,0.22941573387056177,20,0.447029410302639,0.10218667071859544,20,0.6298494949936867,0.16858872932241098,20,0.768162390589714,0.06287890950513943,20,0.24151436535661303,0.10199337753771506,20,0.05756244217078503,0.04397225374542814,20,0.1368126975514819,0.06252890772430783,20,0.8404096335172653,0.02216270960603273,20,0.8203838288784027,0.04875768220716136,20,0.8296597599983215,0.030808834782570457,20,125.4,43.527849524304855,20,1.087435872161278,1.0632507020847148,20,0.3089246959211737,0.14522158055571258,20,0.3177287958037772,0.1397374120115793,20,0.14545808103866875,0.23140840885414385,20,7.9,5.118593556827891,20
