,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,avg_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,retrieval_diversity,retrieval_diversity,avg_bm25_score,avg_bm25_score,avg_bm25_score,max_bm25_score,max_bm25_score,max_bm25_score,ndcg@k,ndcg@k,ndcg@k,context_relevance,context_relevance,context_relevance,context_coverage,context_coverage,context_coverage,semantic_similarity,semantic_similarity,semantic_similarity,answer_question_relevance,answer_question_relevance,answer_question_relevance,rouge1_f,rouge1_f,rouge1_f,rouge2_f,rouge2_f,rouge2_f,rougeL_f,rougeL_f,rougeL_f,bert_score_precision,bert_score_precision,bert_score_precision,bert_score_recall,bert_score_recall,bert_score_recall,bert_score_f1,bert_score_f1,bert_score_f1,answer_length,answer_length,answer_length,length_ratio,length_ratio,length_ratio,key_term_coverage,key_term_coverage,key_term_coverage,faithfulness_score,faithfulness_score,faithfulness_score,min_sentence_support,min_sentence_support,min_sentence_support,unsupported_sentences,unsupported_sentences,unsupported_sentences
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular,0.6358225633358133,0.0539736863893715,29,0.6713898202468609,0.05774346913379423,29,0.5617020536942043,0.1275676176726014,29,0.6066594267713612,0.13756024583364698,29,0.25260147966187574,0.08206845635899296,29,0.25334639368311346,0.1961590306690278,29,0.5010090229909472,0.3995730895548947,29,0.9821649670736723,0.03720510769777697,29,0.7241379310344828,0.42788669985711647,29,0.6066594267713612,0.13756024583364698,29,0.6809444679268475,0.16085033762267167,29,0.7525533684368791,0.05312777546680462,29,0.2593040699347525,0.1112981456769438,29,0.06600890283585194,0.04342633507558046,29,0.1360730761084955,0.05549712963471921,29,0.8404190458100418,0.026125264127604995,29,0.8037535527656818,0.046824552575683395,29,0.8209341106743648,0.029549631349621606,29,125.75862068965517,34.380907463729876,29,1.2637146349743622,3.115507935106044,29,0.3854536357297734,0.17066819517478524,29,0.41006913148936247,0.16663451002615626,29,0.12201136180424485,0.27272576391307135,29,5.068965517241379,3.8723473361290326,29
Endocrine/Metabolic,0.5996645763516426,0.10247764731713872,28,0.62901742543493,0.09664378434844303,28,0.5349158986161152,0.14877531022810045,28,0.6020583531686238,0.1493728860265669,28,0.3397173289032209,0.16098995242827502,28,0.28622984677961455,0.22609001437402365,28,0.5548718396299331,0.49273694711277616,28,0.9695610505357665,0.06344183646306831,28,0.6071428571428571,0.41626965212518585,28,0.6020583531686238,0.1493728860265669,28,0.7019967607089451,0.1550567650175815,28,0.745328711611884,0.06696362906114571,28,0.23959511616515358,0.09083983969828187,28,0.04559776158872283,0.027962851224835272,28,0.12811387934751042,0.04179234867631216,28,0.8470710920436042,0.024834706643225433,28,0.7992684436695916,0.04223965291924103,28,0.8217348158359528,0.024924398960320317,28,107.0,41.280432096503965,28,0.6054601636929676,0.6026717846691744,28,0.3082199652513358,0.14353940814151267,28,0.42400917845014124,0.146793649498553,28,0.17746928936269665,0.2573882406693352,28,4.964285714285714,3.995202149033289,28
Gastrointestinal,0.6091686966775477,0.07049436465639658,29,0.6511120888693579,0.07031607835852882,29,0.5588641603445185,0.12945277434927602,29,0.6262383296571928,0.1393196177785917,29,0.302271808701,0.08040047510228422,29,0.3356970334961011,0.2224105255509353,29,0.675246538464002,0.4984465323861356,29,0.9764963831815906,0.03378837527416593,29,0.6551724137931034,0.4031892562490719,29,0.6262383296571928,0.1393196177785917,29,0.6831304903688102,0.1675872846705016,29,0.7459094380510265,0.060411033016632004,29,0.25871891606763675,0.08344268001013717,29,0.06230146727040293,0.036928780079619,29,0.14037088760939873,0.046067169132743384,29,0.8447629110566501,0.020539401086408362,29,0.818311592628216,0.04278026397892466,29,0.8305236080597187,0.022639747668608,29,117.34482758620689,41.37138060308026,29,1.3130338562261201,1.8243660471932832,29,0.36243303855641584,0.16934704089278524,29,0.4265727233580805,0.14495330608334756,29,0.19189878899989457,0.24710456393506564,29,5.310344827586207,4.811470285205836,29
Kidney/Renal,0.6371129190637952,0.07858273598874042,28,0.6676026114395687,0.0795782703601947,28,0.5226420511802038,0.09074865319195709,28,0.5719018855265209,0.08837697877638102,28,0.2839607248703639,0.09028153860182578,28,0.3140107101171794,0.18549518502203208,28,0.5586183560714275,0.41305613373760863,28,0.9739539504693335,0.023447244958047918,28,0.5714285714285714,0.3939578935235193,28,0.5719018855265209,0.08837697877638102,28,0.6261358380849872,0.17970427405555572,28,0.7140155578298228,0.1347606209026024,28,0.22284288293947355,0.0803448353910927,28,0.044342551367877354,0.029026604980738432,28,0.12150612816676233,0.041080126986891514,28,0.8320352754422596,0.020885543845282392,28,0.8211460581847599,0.03421824938321276,28,0.8261361398867199,0.02125299819116942,28,119.89285714285714,41.172032296041,28,1.1754309536679775,1.6947795701184682,28,0.3281795099320789,0.1698270170707408,28,0.34930455279579115,0.14661735648240024,28,0.07209137780591846,0.20603617480877928,28,6.785714285714286,5.1879999918411634,28
Musculoskeletal,0.6491103920908202,0.0616914905303269,28,0.6865907247577395,0.06433869234422401,28,0.6210754017035167,0.12488787319619213,28,0.6751299351453781,0.13215070017711267,28,0.23491560774190084,0.03845065972520975,28,0.23387634349483508,0.18440851392388902,28,0.4843580352650599,0.4132541609059065,28,0.981812523700991,0.02167946970310636,28,0.7857142857142857,0.3653093363557644,28,0.6751299351453781,0.13215070017711267,28,0.7176583547677312,0.10245107777277927,28,0.7673239644084658,0.05414022074745895,28,0.2840271377620302,0.09164562629766212,28,0.06167554103014315,0.04220852030386457,28,0.1519115306606952,0.05232870259510618,28,0.8593348434993199,0.023374924733856463,28,0.8324561438390187,0.0358034164521605,28,0.8453854066984994,0.025944476845830625,28,107.07142857142857,33.00272555683688,28,0.6988376454814292,0.563029959827879,28,0.3565224704650087,0.1379263441573883,28,0.44541581545028575,0.15596958986402296,28,0.21324780995824508,0.24523285328018454,28,5.0,5.689496495329826,28
Neurological,0.5967216090909366,0.11714413116894998,29,0.624863635877083,0.11278272988554547,29,0.5509147767362923,0.14287746986625857,29,0.5967881946728147,0.14144571454490618,29,0.29356969464784377,0.09295346364470072,29,0.3054886113611984,0.2205936274699081,29,0.599061675440395,0.5072525603025834,29,0.9789895626423132,0.02384894548030694,29,0.632183908045977,0.45725915324229893,29,0.5967881946728147,0.14144571454490618,29,0.6547368826537296,0.14962692855067194,29,0.6966210017944204,0.09386540997903071,29,0.2780282548876843,0.0880580714178722,29,0.05566782375543328,0.04476113274768236,29,0.14605338111475144,0.050612106565351735,29,0.8494029312298216,0.027632910888799402,29,0.8353808316691168,0.022638821337630004,29,0.8420087119628643,0.01860293597319089,29,110.0,44.89272928723696,29,0.8373875777265256,0.6518503517293395,29,0.30939567709536725,0.13604023381906208,29,0.4152929084735295,0.1513559542344897,29,0.19789411911162838,0.23267127341931235,29,4.827586206896552,4.140988197427219,29
Respiratory,0.6572791269455833,0.048796663804722515,29,0.6860754921518523,0.056562874592635745,29,0.6502244054586038,0.08514181102155143,29,0.7035108578616175,0.09337122858655236,29,0.24046324929971807,0.04907585888787824,29,0.4203419153011177,0.2344365922112208,29,0.8272186518635535,0.4680024105755784,29,0.981631496824588,0.016148614563932878,29,0.9425287356321839,0.20057388927143846,29,0.7035108578616175,0.09337122858655236,29,0.7399200858740971,0.11390125976285602,29,0.7528420481188544,0.059511502346943176,29,0.23353158435014176,0.10864787110652988,29,0.06963974841141568,0.047677258482078225,29,0.14258787792016578,0.07529407139060611,29,0.8513802104982836,0.03073097718028386,29,0.8032947675935154,0.05748639438746344,29,0.82526695728302,0.033129646600326024,29,92.55172413793103,51.54373053665662,29,0.7043910180307265,0.9168580839570433,29,0.33222505889824866,0.16841602498154037,29,0.4284629332378102,0.18744481022982698,29,0.23683704050450488,0.2874374613797914,29,5.9655172413793105,6.581808037639428,29
Unrelated,0.42425415217876433,0.060321501733579724,20,0.46786994487047195,0.06536832657325807,20,0.3629947525759538,0.09121662788404944,20,0.4249632805585861,0.09626004960559152,20,0.4586238806446394,0.1428508109812505,20,0.32238356426574166,0.20534623923931933,20,0.6161515028937454,0.4269159114012354,20,0.9753888451903545,0.03638573409429321,20,0.1,0.19041352352582647,20,0.4249632805585861,0.09626004960559152,20,0.662297534942627,0.1643151083706429,20,0.75101398229599,0.060190101156539215,20,0.25732480897456067,0.10605118056180346,20,0.059804513024336405,0.0362024826498394,20,0.14567524494788764,0.06290960006148058,20,0.8392182409763336,0.021097903170055568,20,0.822419410943985,0.05281649792100795,20,0.8300423860549927,0.03295775410438677,20,119.5,31.18113464732701,20,1.0000432255756162,0.8325029818226605,20,0.338939821838152,0.15135101824347932,20,0.2778034186428144,0.11291075609298276,20,0.08983011730015278,0.16770739833958717,20,8.85,5.1837296063335465,20
